index,Quarter,Gross Domestic Product ($mil),Total Public Debt ($mil)
0,1947-01-01,243.164,
1,1947-04-01,245.968,
2,1947-07-01,249.585,
3,1947-10-01,259.745,
4,1948-01-01,265.742,
5,1948-04-01,272.567,
6,1948-07-01,279.196,
7,1948-10-01,280.366,
8,1949-01-01,275.034,
9,1949-04-01,271.351,
10,1949-07-01,272.889,
11,1949-10-01,270.627,
12,1950-01-01,280.828,
13,1950-04-01,290.383,
14,1950-07-01,308.153,
15,1950-10-01,319.945,
16,1951-01-01,336.0,
17,1951-04-01,344.09,
18,1951-07-01,351.385,
19,1951-10-01,356.178,
20,1952-01-01,359.82,
21,1952-04-01,361.03,
22,1952-07-01,367.701,
23,1952-10-01,380.812,
24,1953-01-01,387.98,
25,1953-04-01,391.749,
26,1953-07-01,391.171,
27,1953-10-01,385.97,
28,1954-01-01,385.345,
29,1954-04-01,386.121,
30,1954-07-01,390.996,
31,1954-10-01,399.734,
32,1955-01-01,413.073,
33,1955-04-01,421.532,
34,1955-07-01,430.221,
35,1955-10-01,437.092,
36,1956-01-01,439.746,
37,1956-04-01,446.01,
38,1956-07-01,451.191,
39,1956-10-01,460.463,
40,1957-01-01,469.779,
41,1957-04-01,472.025,
42,1957-07-01,479.49,
43,1957-10-01,474.864,
44,1958-01-01,467.54,
45,1958-04-01,471.978,
46,1958-07-01,485.841,
47,1958-10-01,499.555,
48,1959-01-01,510.33,
49,1959-04-01,522.653,
50,1959-07-01,525.034,
51,1959-10-01,528.6,
52,1960-01-01,542.648,
53,1960-04-01,541.08,
54,1960-07-01,545.604,
55,1960-10-01,540.197,
56,1961-01-01,545.018,
57,1961-04-01,555.545,
58,1961-07-01,567.664,
59,1961-10-01,580.612,
60,1962-01-01,594.013,
61,1962-04-01,600.366,
62,1962-07-01,609.027,
63,1962-10-01,612.28,
64,1963-01-01,621.672,
65,1963-04-01,629.752,
66,1963-07-01,644.444,
67,1963-10-01,653.938,
68,1964-01-01,669.822,
69,1964-04-01,678.674,
70,1964-07-01,692.031,
71,1964-10-01,697.319,
72,1965-01-01,717.79,
73,1965-04-01,730.191,
74,1965-07-01,749.323,
75,1965-10-01,771.857,
76,1966-01-01,795.734,320999.0
77,1966-04-01,804.981,316097.0
78,1966-07-01,819.638,324748.0
79,1966-10-01,833.302,329319.0
80,1967-01-01,844.17,330947.0
81,1967-04-01,848.983,322893.0
82,1967-07-01,865.233,335896.0
83,1967-10-01,881.439,344663.0
84,1968-01-01,909.387,349473.0
85,1968-04-01,934.344,345369.0
86,1968-07-01,950.825,354743.0
87,1968-10-01,968.03,358029.0
88,1969-01-01,993.337,359546.0
89,1969-04-01,1009.02,352895.0
90,1969-07-01,1029.956,360685.0
91,1969-10-01,1038.147,368226.0
92,1970-01-01,1051.2,372007.0
93,1970-04-01,1067.375,370094.0
94,1970-07-01,1086.059,378678.0
95,1970-10-01,1088.608,389158.0
96,1971-01-01,1135.156,391668.0
97,1971-04-01,1156.271,397305.0
98,1971-07-01,1177.675,412268.0
99,1971-10-01,1190.297,424131.0
100,1972-01-01,1230.609,427344.0
101,1972-04-01,1266.369,426435.0
102,1972-07-01,1290.566,433946.0
103,1972-10-01,1328.904,448473.0
104,1973-01-01,1377.49,458606.0
105,1973-04-01,1413.887,457317.0
106,1973-07-01,1433.838,460614.0
107,1973-10-01,1476.289,469073.0
108,1974-01-01,1491.209,473675.0
109,1974-04-01,1530.056,474235.0
110,1974-07-01,1560.026,481466.0
111,1974-10-01,1599.679,492664.0
112,1975-01-01,1616.116,509659.0
113,1975-04-01,1651.853,533188.0
114,1975-07-01,1709.82,553647.0
115,1975-10-01,1761.831,576649.0
116,1976-01-01,1820.487,600490.0
117,1976-04-01,1852.332,620432.0
118,1976-07-01,1886.558,634701.0
119,1976-10-01,1934.273,653543.0
120,1977-01-01,1988.648,669207.0
121,1977-04-01,2055.909,674425.0
122,1977-07-01,2118.473,698840.0
123,1977-10-01,2164.27,718943.0
124,1978-01-01,2202.76,737951.0
125,1978-04-01,2331.633,749024.0
126,1978-07-01,2395.053,771544.0
127,1978-10-01,2476.949,789207.0
128,1979-01-01,2526.61,796792.0
129,1979-04-01,2591.247,804913.0
130,1979-07-01,2667.565,826519.0
131,1979-10-01,2723.883,845116.0
132,1980-01-01,2789.842,863451.0
133,1980-04-01,2797.352,877614.0
134,1980-07-01,2856.483,907701.0
135,1980-10-01,2985.557,930210.0
136,1981-01-01,3124.206,964531.0
137,1981-04-01,3162.532,971174.0
138,1981-07-01,3260.609,997855.0
139,1981-10-01,3280.818,1028729.0
140,1982-01-01,3274.302,1061299.0
141,1982-04-01,3331.972,1079630.0
142,1982-07-01,3366.322,1142035.0
143,1982-10-01,3402.561,1197074.0
144,1983-01-01,3473.413,1244493.0
145,1983-04-01,3578.848,1319581.0
146,1983-07-01,3689.179,1377211.0
147,1983-10-01,3794.706,1410702.0
