Quarter,GDP ($mil),Debt ($mil),Year,Q,Decade,GDP_growth_pct,Recession
1947-01-01,243164.0,,1947,Q1,1940s,,False
1947-04-01,245968.0,,1947,Q2,1940s,1.1531312200819155,False
1947-07-01,249585.0,,1947,Q3,1940s,1.4705164899499135,False
1947-10-01,259745.0,,1947,Q4,1940s,4.070757457379259,False
1948-01-01,265742.0,,1948,Q1,1940s,2.3088028643477365,False
1948-04-01,272567.0,,1948,Q2,1940s,2.568280512677701,False
1948-07-01,279196.0,,1948,Q3,1940s,2.432062575440175,False
1948-10-01,280366.0,,1948,Q4,1940s,0.41906044499204764,False
1949-01-01,275034.0,,1949,Q1,1940s,-1.901799790274139,False
1949-04-01,271351.0,,1949,Q2,1940s,-1.3391071649323405,True
1949-07-01,272889.0,,1949,Q3,1940s,0.5667935625813136,False
1949-10-01,270627.0,,1949,Q4,1940s,-0.8289084572848271,False
1950-01-01,280828.0,,1950,Q1,1950s,3.7693947758353774,False
1950-04-01,290383.0,,1950,Q2,1950s,3.402438503283145,False
1950-07-01,308153.0,,1950,Q3,1950s,6.119504240950735,False
1950-10-01,319945.0,,1950,Q4,1950s,3.8266705175675764,False
1951-01-01,336000.0,,1951,Q1,1950s,5.018049977339856,False
1951-04-01,344090.0,,1951,Q2,1950s,2.407738095238088,False
1951-07-01,351385.0,,1951,Q3,1950s,2.1200848615187784,False
1951-10-01,356178.0,,1951,Q4,1950s,1.3640309062709077,False
1952-01-01,359820.0,,1952,Q1,1950s,1.0225224466418492,False
1952-04-01,361030.0,,1952,Q2,1950s,0.3362792507364709,False
1952-07-01,367701.0,,1952,Q3,1950s,1.8477688834722894,False
1952-10-01,380812.0,,1952,Q4,1950s,3.5656688450670604,False
1953-01-01,387980.0,,1953,Q1,1950s,1.8822936252008926,False
1953-04-01,391749.0,,1953,Q2,1950s,0.9714418268983005,False
1953-07-01,391171.0,,1953,Q3,1950s,-0.1475434525678443,False
1953-10-01,385970.0,,1953,Q4,1950s,-1.3295975417400574,True
1954-01-01,385345.0,,1954,Q1,1950s,-0.1619296836541717,True
1954-04-01,386121.0,,1954,Q2,1950s,0.20137798596062684,False
1954-07-01,390996.0,,1954,Q3,1950s,1.262557592050162,False
1954-10-01,399734.0,,1954,Q4,1950s,2.2348054711557097,False
1955-01-01,413073.0,,1955,Q1,1950s,3.3369690844411437,False
1955-04-01,421532.0,,1955,Q2,1950s,2.0478220556657156,False
1955-07-01,430221.0,,1955,Q3,1950s,2.0612907205146858,False
1955-10-01,437092.0,,1955,Q4,1950s,1.5970861487468069,False
1956-01-01,439746.0,,1956,Q1,1950s,0.6071948239729785,False
1956-04-01,446010.0,,1956,Q2,1950s,1.4244586647746749,False
1956-07-01,451191.0,,1956,Q3,1950s,1.1616331472388497,False
1956-10-01,460463.0,,1956,Q4,1950s,2.0550055298088843,False
1957-01-01,469779.0,,1957,Q1,1950s,2.023181015629927,False
1957-04-01,472025.0,,1957,Q2,1950s,0.4780971478077989,False
1957-07-01,479490.0,,1957,Q3,1950s,1.5814840315661272,False
1957-10-01,474864.0,,1957,Q4,1950s,-0.9647750735156113,False
1958-01-01,467540.0,,1958,Q1,1950s,-1.5423363320866579,True
1958-04-01,471978.0,,1958,Q2,1950s,0.9492235958420636,False
1958-07-01,485841.0,,1958,Q3,1950s,2.9372131751903785,False
1958-10-01,499555.0,,1958,Q4,1950s,2.8227341866989386,False
1959-01-01,510330.0,,1959,Q1,1950s,2.1569196584960704,False
1959-04-01,522653.0,,1959,Q2,1950s,2.414712049066292,False
1959-07-01,525034.0,,1959,Q3,1950s,0.45556038136200794,False
1959-10-01,528600.0,,1959,Q4,1950s,0.6791941093338805,False
1960-01-01,542648.0,,1960,Q1,1960s,2.6575860764282977,False
1960-04-01,541080.0,,1960,Q2,1960s,-0.28895342837346183,False
1960-07-01,545604.0,,1960,Q3,1960s,0.836105566644485,False
1960-10-01,540197.0,,1960,Q4,1960s,-0.9910117961012044,False
1961-01-01,545018.0,,1961,Q1,1960s,0.8924521979944311,False
1961-04-01,555545.0,,1961,Q2,1960s,1.9314958405043603,False
1961-07-01,567664.0,,1961,Q3,1960s,2.1814614477674965,False
1961-10-01,580612.0,,1961,Q4,1960s,2.2809267453986815,False
1962-01-01,594013.0,,1962,Q1,1960s,2.3080818171171025,False
1962-04-01,600366.0,,1962,Q2,1960s,1.0695052128488758,False
1962-07-01,609027.0,,1962,Q3,1960s,1.442620001798911,False
1962-10-01,612280.0,,1962,Q4,1960s,0.5341306707256077,False
1963-01-01,621672.0,,1963,Q1,1960s,1.5339387208466615,False
1963-04-01,629752.0,,1963,Q2,1960s,1.299720753065925,False
1963-07-01,644444.0,,1963,Q3,1960s,2.3329818722290785,False
1963-10-01,653938.0,,1963,Q4,1960s,1.473207912557184,False
1964-01-01,669822.0,,1964,Q1,1960s,2.428976447308462,False
1964-04-01,678674.0,,1964,Q2,1960s,1.3215451269143141,False
1964-07-01,692031.0,,1964,Q3,1960s,1.9681025057685986,False
1964-10-01,697319.0,,1964,Q4,1960s,0.7641276185604395,False
1965-01-01,717790.0,,1965,Q1,1960s,2.935672195939021,False
1965-04-01,730191.0,,1965,Q2,1960s,1.7276640800234055,False
1965-07-01,749323.0,,1965,Q3,1960s,2.62013637527716,False
1965-10-01,771857.0,,1965,Q4,1960s,3.007247875749175,False
1966-01-01,795734.0,320999.0,1966,Q1,1960s,3.093448656940345,False
1966-04-01,804981.0,316097.0,1966,Q2,1960s,1.16207174759404,False
1966-07-01,819638.0,324748.0,1966,Q3,1960s,1.8207883167428829,False
1966-10-01,833302.0,329319.0,1966,Q4,1960s,1.6670774171036573,False
1967-01-01,844170.0,330947.0,1967,Q1,1960s,1.3042090382598293,False
1967-04-01,848983.0,322893.0,1967,Q2,1960s,0.57014582370849,False
1967-07-01,865233.0,335896.0,1967,Q3,1960s,1.914054816174171,False
1967-10-01,881439.0,344663.0,1967,Q4,1960s,1.8730214866978123,False
1968-01-01,909387.0,349473.0,1968,Q1,1960s,3.1707242361638244,False
1968-04-01,934344.0,345369.0,1968,Q2,1960s,2.7443761566857683,False
1968-07-01,950825.0,354743.0,1968,Q3,1960s,1.763911364550963,False
1968-10-01,968030.0,358029.0,1968,Q4,1960s,1.8094812399758187,False
1969-01-01,993337.0,359546.0,1969,Q1,1960s,2.6142784831048704,False
1969-04-01,1009020.0,352895.0,1969,Q2,1960s,1.5788196754978445,False
1969-07-01,1029955.9999999999,360685.0,1969,Q3,1960s,2.0748845414362282,False
1969-10-01,1038146.9999999999,368226.0,1969,Q4,1960s,0.795276691431468,False
1970-01-01,1051200.0,372007.0,1970,Q1,1970s,1.2573363887773192,False
1970-04-01,1067375.0,370094.0,1970,Q2,1970s,1.5387176560121674,False
1970-07-01,1086059.0,378678.0,1970,Q3,1970s,1.7504625834406928,False
1970-10-01,1088608.0,389158.0,1970,Q4,1970s,0.23470179796862833,False
1971-01-01,1135156.0,391668.0,1971,Q1,1970s,4.275919339192802,False
1971-04-01,1156271.0,397305.0,1971,Q2,1970s,1.8600967620309383,False
1971-07-01,1177675.0,412268.0,1971,Q3,1970s,1.8511231363581793,False
1971-10-01,1190297.0,424131.0,1971,Q4,1970s,1.0717727726240245,False
1972-01-01,1230609.0,427344.0,1972,Q1,1970s,3.3867177687585626,False
1972-04-01,1266369.0,426435.0,1972,Q2,1970s,2.9058783090323503,False
1972-07-01,1290566.0,433946.0,1972,Q3,1970s,1.9107384972310681,False
1972-10-01,1328904.0,448473.0,1972,Q4,1970s,2.9706345897846376,False
1973-01-01,1377490.0,458606.0,1973,Q1,1970s,3.6560955494151504,False
1973-04-01,1413887.0,457317.0,1973,Q2,1970s,2.6422696353512576,False
1973-07-01,1433838.0,460614.0,1973,Q3,1970s,1.4110745766811705,False
1973-10-01,1476289.0,469073.0,1973,Q4,1970s,2.960655248361399,False
1974-01-01,1491209.0,473675.0,1974,Q1,1970s,1.0106422252011527,False
1974-04-01,1530056.0,474235.0,1974,Q2,1970s,2.605067431862329,False
1974-07-01,1560026.0,481466.0,1974,Q3,1970s,1.9587518365340895,False
1974-10-01,1599679.0,492664.0,1974,Q4,1970s,2.5418166107487927,False
1975-01-01,1616116.0,509659.0,1975,Q1,1970s,1.027518645928338,False
1975-04-01,1651853.0,533188.0,1975,Q2,1970s,2.2112892886401614,False
1975-07-01,1709820.0,553647.0,1975,Q3,1970s,3.5092105653469208,False
1975-10-01,1761831.0,576649.0,1975,Q4,1970s,3.0418991472786594,False
1976-01-01,1820487.0,600490.0,1976,Q1,1970s,3.3292637034993744,False
1976-04-01,1852332.0,620432.0,1976,Q2,1970s,1.7492572042535848,False
1976-07-01,1886558.0,634701.0,1976,Q3,1970s,1.8477249218822545,False
1976-10-01,1934273.0,653543.0,1976,Q4,1970s,2.529209279545075,False
1977-01-01,1988648.0,669207.0,1977,Q1,1970s,2.8111336920900065,False
1977-04-01,2055909.0,674425.0,1977,Q2,1970s,3.3822476375909627,False
1977-07-01,2118473.0,698840.0,1977,Q3,1970s,3.043130800050009,False
1977-10-01,2164270.0,718943.0,1977,Q4,1970s,2.161792951810093,False
1978-01-01,2202760.0,737951.0,1978,Q1,1970s,1.778428754268191,False
1978-04-01,2331633.0,749024.0,1978,Q2,1970s,5.850523888212966,False
1978-07-01,2395053.0,771544.0,1978,Q3,1970s,2.719982089805728,False
1978-10-01,2476949.0,789207.0,1978,Q4,1970s,3.4193815335193056,False
1979-01-01,2526610.0,796792.0,1979,Q1,1970s,2.004926221734893,False
1979-04-01,2591247.0,804913.0,1979,Q2,1970s,2.558249987136918,False
1979-07-01,2667565.0,826519.0,1979,Q3,1970s,2.94522289847321,False
1979-10-01,2723883.0,845116.0,1979,Q4,1970s,2.1112137848562362,False
1980-01-01,2789842.0,863451.0,1980,Q1,1980s,2.4215063569176687,False
1980-04-01,2797352.0,877614.0,1980,Q2,1980s,0.26919087174113177,False
1980-07-01,2856483.0,907701.0,1980,Q3,1980s,2.113820498814589,False
1980-10-01,2985557.0,930210.0,1980,Q4,1980s,4.5186335784249465,False
1981-01-01,3124206.0,964531.0,1981,Q1,1980s,4.643991054265584,False
1981-04-01,3162532.0,971174.0,1981,Q2,1980s,1.2267436910370133,False
1981-07-01,3260609.0,997855.0,1981,Q3,1980s,3.101217631948061,False
1981-10-01,3280818.0,1028729.0,1981,Q4,1980s,0.619792192194768,False
1982-01-01,3274302.0,1061299.0,1982,Q1,1980s,-0.19860900543705595,False
1982-04-01,3331972.0,1079630.0,1982,Q2,1980s,1.7612914141700964,False
1982-07-01,3366322.0,1142035.0,1982,Q3,1980s,1.030921028147902,False
1982-10-01,3402561.0,1197074.0,1982,Q4,1980s,1.0765161502672704,False
1983-01-01,3473413.0,1244493.0,1983,Q1,1980s,2.0823138806328467,False
1983-04-01,3578848.0,1319581.0,1983,Q2,1980s,3.035486997946979,False
1983-07-01,3689179.0,1377211.0,1983,Q3,1980s,3.0828635359758216,False
1983-10-01,3794706.0,1410702.0,1983,Q4,1980s,2.8604467281202695,False
1984-01-01,3908054.0,1463741.0,1984,Q1,1980s,2.9870034727327965,False
1984-04-01,4009601.0,1512697.0,1984,Q2,1980s,2.598403195042853,False
1984-07-01,4084250.0,1572267.0,1984,Q3,1980s,1.861756319394381,False
1984-10-01,4148551.0000000005,1662966.0,1984,Q4,1980s,1.5743649384832192,False
1985-01-01,4230168.0,1710731.0,1985,Q1,1980s,1.967361616140173,False
1985-04-01,4294887.0,1774640.0,1985,Q2,1980s,1.5299392364558573,False
1985-07-01,4386773.0,1823103.0,1985,Q3,1980s,2.1394276496680797,False
1985-10-01,4444094.0,1945942.0,1985,Q4,1980s,1.306678052408916,False
1986-01-01,4507894.0,1986816.0,1986,Q1,1980s,1.4356131981006603,False
1986-04-01,4545340.0,2059349.0,1986,Q2,1980s,0.8306761427841813,False
1986-07-01,4607669.0,2125304.0,1986,Q3,1980s,1.3712725560684147,False
1986-10-01,4657627.0,2214835.0,1986,Q4,1980s,1.084235868505301,False
1987-01-01,4722156.0,2246724.0,1987,Q1,1980s,1.38544799744591,False
1987-04-01,4806160.0,2309296.0,1987,Q2,1980s,1.7789331822159138,False
1987-07-01,4884555.0,2350277.0,1987,Q3,1980s,1.6311358756262884,False
1987-10-01,5007994.0,2431715.0,1987,Q4,1980s,2.5271288786798296,False
1988-01-01,5073372.0,2487551.0,1988,Q1,1980s,1.305472810071251,False
